,mgr_r
1949-08,0.027601541814796526
1949-09,0.03324831418424694
1949-10,0.006950145070120873
1949-11,0.01515068543774267
1949-12,0.029984328094698653
1950-01,0.01467237646134886
1950-02,0.011243364193171039
1950-03,0.003638280990730482
1950-04,-0.002675077439382958
1950-05,-0.0009242972582534906
1950-06,-0.022647122344602755
1950-07,0.008677054282036623
1950-08,0.023809412718933345
1950-09,0.05944416524793043
1950-10,-0.007504289773629844
1950-11,0.003172978980173662
1950-12,0.004428830054239748
1951-01,0.06002130204232664
1951-02,-0.000501965052474752
1951-03,-0.009749742661705283
1951-04,0.026080757203566465
1951-05,-0.015395182080717287
1951-06,-0.00239422678401904
1951-07,0.02501015860418009
1951-08,0.028167119733601597
1951-09,0.009045844481191157
1951-10,-0.018173580248320213
1951-11,0.0007065162562286051
1951-12,0.018823008147150898
1952-01,0.020385827581195302
1952-02,-0.013031031726413076
1952-03,0.005789380071284844
1952-04,-0.04934778618933823
1952-05,0.0031556640136298345
1952-06,0.04847131652249516
1952-07,0.011375187988961881
1952-08,0.007945867189038768
1952-09,-0.03961270909783125
1952-10,0.022966666806951766
1952-11,0.06301878652051418
1952-12,0.01205228049709753
1953-01,0.011566338359385869
1953-02,0.029589778213615688
1953-03,-0.03703550301744114
1953-04,0.010516477315587086
1953-05,-0.008031930050912597
1953-06,-0.00787480654874857
1953-07,0.030362249488461977
1953-08,-0.038069751249069576
1953-09,0.00336960668346953
1953-10,-0.004282900232727042
1953-11,-0.013181762356267657
1953-12,-0.033149380230186286
1954-01,0.016159329672822246
1954-02,-0.01220461226680537
1954-03,-0.0018522580942033377
1954-04,0.031862030221317
1954-05,0.01450608976644643
1954-06,-0.07028463104675564
1954-07,0.0748758629179152
1954-08,-0.009486738834266359
1954-09,0.026106907569492712
1954-10,-0.00982071661383491
1954-11,0.038651135799259446
1954-12,0.06173531370744862
1955-01,-0.009372931792276176
1955-02,-0.0014250073277737743
1955-03,-0.01607347063374562
1955-04,0.029351039009419308
1955-05,-0.0039785646427111555
1955-06,0.010663072793296917
1955-07,0.0320037645713279
1955-08,0.019623030162467796
1955-09,0.03343258560048215
1955-10,-0.01669538514619885
1955-11,0.019559442904361325
1955-12,0.020766758922746813
1956-01,0.011173843388103599
1956-02,-0.007318458774698548
1956-03,0.027637399886810812
1956-04,0.037969441146716916
1956-05,-0.022675626661984118
1956-06,0.0023789008704957135
1956-07,0.002731602358058381
1956-08,-0.00912184402553632
1956-09,-0.014537089751166125
1956-10,0.005367313949243258
1956-11,0.0022091657526489856
1956-12,0.03474429388464467
1957-01,0.020663717945376574
1957-02,0.0023380867166712662
1957-03,0.03533040781727706
1957-04,0.03745374818771795
1957-05,0.013009351246518929
1957-06,-0.012980642896251875
