PERMNO,date,TICKER,RET,sprtrn
10107,2011-12-29,MSFT,0.007746,0.010707
10107,2011-12-30,MSFT,-0.002306,-0.004291
10107,2012-01-03,MSFT,0.031009,0.015474
10107,2012-01-04,MSFT,0.023725,0.000188
10107,2012-01-05,MSFT,0.010219,0.002944
10107,2012-01-06,MSFT,0.015354,-0.002537
10107,2012-01-09,MSFT,-0.012987,0.002262
10107,2012-01-10,MSFT,0.003605,0.008886
10107,2012-01-11,MSFT,-0.004310,0.000310
10107,2012-01-12,MSFT,0.010101,0.002337
10107,2012-01-13,MSFT,0.008929,-0.004948
10107,2012-01-17,MSFT,0.000177,0.003553
10107,2012-01-18,MSFT,-0.000885,0.011108
10107,2012-01-19,MSFT,-0.003897,0.004939
10107,2012-01-20,MSFT,0.056543,0.000669
10107,2012-01-23,MSFT,0.000673,0.000471
10107,2012-01-24,MSFT,-0.013118,-0.001026
10107,2012-01-25,MSFT,0.007498,0.008672
10107,2012-01-26,MSFT,-0.002030,-0.005746
10107,2012-01-27,MSFT,-0.009153,-0.001593
10107,2012-01-30,MSFT,0.013000,-0.002522
10107,2012-01-31,MSFT,-0.002702,-0.000457
10107,2012-02-01,MSFT,0.012191,0.008900
10107,2012-02-02,MSFT,0.002007,0.001095
10107,2012-02-03,MSFT,0.009683,0.014605
10107,2012-02-06,MSFT,-0.001323,-0.000424
10107,2012-02-07,MSFT,0.004967,0.002023
10107,2012-02-08,MSFT,0.010214,0.002160
10107,2012-02-09,MSFT,0.003588,0.001474
10107,2012-02-10,MSFT,-0.008937,-0.006886
10107,2012-02-13,MSFT,0.002787,0.006800
10107,2012-02-14,MSFT,-0.004251,-0.000940
10107,2012-02-15,MSFT,-0.006612,-0.005383
10107,2012-02-16,MSFT,0.041098,0.011026
10107,2012-02-17,MSFT,-0.001119,0.002349
10107,2012-02-21,MSFT,0.006080,0.000720
10107,2012-02-22,MSFT,-0.005407,-0.003340
10107,2012-02-23,MSFT,0.003198,0.004272
10107,2012-02-24,MSFT,0.003506,0.001672
10107,2012-02-27,MSFT,-0.004130,0.001355
10107,2012-02-28,MSFT,0.016587,0.003356
10107,2012-02-29,MSFT,-0.004079,-0.004737
10107,2012-03-01,MSFT,0.017328,0.006158
10107,2012-03-02,MSFT,-0.006658,-0.003246
10107,2012-03-05,MSFT,-0.008574,-0.003870
10107,2012-03-06,MSFT,-0.007704,-0.015370
10107,2012-03-07,MSFT,0.009032,0.006901
10107,2012-03-08,MSFT,0.005339,0.009818
10107,2012-03-09,MSFT,-0.000625,0.003631
10107,2012-03-12,MSFT,0.001563,0.000160
10107,2012-03-13,MSFT,0.019663,0.018132
10107,2012-03-14,MSFT,0.003061,-0.001196
10107,2012-03-15,MSFT,0.002441,0.005967
10107,2012-03-16,MSFT,-0.007610,0.001119
10107,2012-03-19,MSFT,-0.012270,0.003974
10107,2012-03-20,MSFT,-0.006522,-0.003001
10107,2012-03-21,MSFT,-0.002501,-0.001871
10107,2012-03-22,MSFT,0.002664,-0.007207
10107,2012-03-23,MSFT,0.000469,0.003109
10107,2012-03-26,MSFT,0.018119,0.013886
10107,2012-03-27,MSFT,-0.002148,-0.002817
10107,2012-03-28,MSFT,-0.010148,-0.004942
10107,2012-03-29,MSFT,-0.002175,-0.001608
10107,2012-03-30,MSFT,0.004203,0.003698
10107,2012-04-02,MSFT,0.001085,0.007505
10107,2012-04-03,MSFT,-0.010839,-0.003989
10107,2012-04-04,MSFT,-0.022855,-0.010202
